restaurant_name,cuisine_type,average_rating,average_order_cost,rating_count,average_order_time
Blue Ribbon Fried Chicken,American,4.41,17.19,95,51.42
Blue Ribbon Sushi,Japanese,4.34,15.87,117,52.05
Blue Ribbon Sushi Bar & Grill,Japanese,4.26,15.11,43,49.88
Han Dynasty,Chinese,4.47,15.69,43,50.74
Nobu Next Door,Japanese,4.36,14.85,42,52.33
Parm,Italian,4.32,16.43,66,52.7
RedFarm Broadway,Chinese,4.3,16.49,58,50.53
RedFarm Hudson,Chinese,4.38,16.7,54,51.15
Shake Shack,American,4.34,16.4,212,52.54
TAO,Japanese,4.27,17.06,48,50.1
The Meatball Shop,Italian,4.46,16.26,112,51.56
